DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
1NT, N, D, 6           5   -0.56   -0.56   -0.00
3D, N, S, 9            2    2.34    2.60   -0.26
3H, N, C, 9            1    3.22    0.40    2.82
3H, N, D, 8            1   -2.32    0.40   -2.72
3H, N, D, 9            1    3.22    0.40    2.82
3H, N, S, 8            3   -2.32    0.40   -2.72
3H, N, S, 9            2    3.22    0.40    2.82
3H, S, C, 9            1    3.22    2.15    1.07
3HX, S, C, 10          1   13.43    8.51    4.92
3NT, E, H, 6           1   -3.31   -3.31   -0.00
3NT, N, C, 5           1   -8.44   -6.53   -1.91
3NT, S, C, 4           1   -9.94   -6.91   -3.03
3NT, S, C, 5           1   -8.44   -6.91   -1.54
3NT, S, C, 7           2   -4.62   -6.91    2.28
3NT, W, D, 4           1   -5.40   -3.73   -1.67
3NT, W, H, 6           3   -3.31   -3.73    0.42
3NTX, N, C, 7          1   -9.94  -12.29    2.35
3NTX, W, H, 6          1   -9.53  -10.51    0.98
4C, E, H, 8            2   -2.23   -1.85   -0.38
4C, E, H, 9            1   -0.94   -1.85    0.92
4H, N, C, 10           1   10.78   -2.67   13.44
4H, N, D, 10           1   10.78   -2.67   13.44
4H, N, D, 8            1   -4.62   -2.67   -1.96
4H, N, S, 8           11   -4.62   -2.67   -1.96
4H, N, S, 9            7   -2.32   -2.67    0.34
4H, S, C, 10           1   10.78    3.65    7.13
4H, S, S, 8            1   -4.62    3.65   -8.28
4HX, N, C, 9           1   -4.62   -6.28    1.66
5C, E, H, 9            1   -2.23   -3.00    0.76
5CX, E, H, 8           2   -9.53   -8.62   -0.91
5CX, E, H, 9           1   -6.40   -8.62    2.22
5DX, N, S, 9           1   -9.94   -7.66   -2.28

DEFENDER, Board 13|12

Contract           Count Overall     Bid    Lead Restdef
2H, N, S, 9            1   -3.22   -2.81    0.10   -0.52
3C, E, H, 8           11    0.94   -0.03   -0.04    1.00
3C, E, H, 9            4   -2.36   -0.03   -0.04   -2.29
3C, E, S, 8            1    0.94   -0.03    0.96    0.00
3CX, E, H, 8           1    2.23   -1.20   -0.15    3.59
3D, N, C, 10           2   -2.95   -2.60   -0.15   -0.20
3D, N, C, 9            1   -2.34   -2.60   -0.15    0.41
3D, N, S, 10           1   -2.95   -2.60    0.11   -0.46
3D, N, S, 9            2   -2.34   -2.60    0.11    0.15
3H, N, C, 9            1   -3.22   -0.40   -3.03    0.21
3H, N, D, 8            1    2.32   -0.40   -0.21    2.93
3H, N, D, 9            1   -3.22   -0.40   -0.21   -2.62
3H, N, S, 8            3    2.32   -0.40    0.41    2.31
3H, N, S, 9            2   -3.22   -0.40    0.41   -3.23
3H, S, C, 9            1   -3.22   -2.15   -1.49    0.42
3HX, S, C, 10          1  -13.43   -8.51   -4.38   -0.54
3NT, E, H, 6           1    3.31    3.31    0.00    0.00
3NT, N, C, 5           1    8.44    6.53    0.00    1.91
3NT, S, C, 4           1    9.94    6.91    0.00    3.03
3NT, S, C, 5           1    8.44    6.91    0.00    1.54
3NT, S, C, 7           2    4.62    6.91    0.00   -2.28
3NT, W, D, 4           1    5.40    3.73    1.67    0.00
3NT, W, H, 6           3    3.31    3.73   -0.42    0.00
3NTX, N, C, 7          1    9.94   12.29    0.00   -2.35
3NTX, W, H, 6          1    9.53   10.51   -0.98    0.00
4C, E, H, 8            2    2.23    1.85   -0.02    0.40
4C, E, H, 9            1    0.94    1.85   -0.02   -0.90
4H, N, C, 10           1  -10.78    2.67   -4.71   -8.74
4H, N, D, 10           1  -10.78    2.67   -2.47  -10.98
4H, N, D, 8            1    4.62    2.67   -2.47    4.43
4H, N, S, 8           11    4.62    2.67    1.00    0.96
4H, N, S, 9            7    2.32    2.67    1.00   -1.34
4H, S, C, 10           1  -10.78   -3.65   -2.76   -4.37
4H, S, S, 8            1    4.62   -3.65    8.28    0.00
4HX, N, C, 9           1    4.62    6.28   -7.25    5.59
5C, E, H, 9            1    2.23    3.00   -0.01   -0.75
5CX, E, H, 8           2    9.53    8.62   -0.04    0.95
5CX, E, H, 9           1    6.40    8.62   -0.04   -2.18
5DX, N, S, 9           1    9.94    7.66    0.95    1.33

DECLARER, Board 13|13

Contract           Count Overall     Bid    Play
1D, N, D, 3            1   -5.62   -3.44   -2.19
1D, N, S, 5            1   -1.25   -3.44    2.19
1NT, E, H, 8           1   -0.58   -0.52   -0.06
1NT, N, D, 3           2   -5.62   -3.15   -2.47
1NT, N, D, 4           1   -3.58   -3.15   -0.43
1NT, N, D, 5           2   -1.25   -3.15    1.90
1NT, N, D, 6           1    1.32   -3.15    4.48
1NT, W, H, 7           9   -1.44   -0.89   -0.55
1NT, W, H, 8           4   -0.58   -0.89    0.30
1NT, W, S, 7           1   -1.44   -0.89   -0.55
1NT, W, S, 8           2   -0.58   -0.89    0.30
1NT, W, S, 9           1    0.06   -0.89    0.95
1NTX, N, D, 3          1  -13.65   -9.94   -3.71
1NTX, N, D, 4          1  -11.21   -9.94   -1.27
2C, S, C, 7            1    1.32    1.32   -0.00
2CX, N, C, 6           1   -7.44   -4.06   -3.38
2CX, N, S, 5           1  -11.21   -4.06   -7.15
2D, E, C, 10           2   -0.47   -0.68    0.21
2D, E, C, 9            2   -1.03   -0.68   -0.35
2D, E, D, 9            1   -1.03   -0.68   -0.35
2D, W, H, 11           1    0.06   -0.48    0.55
2H, N, C, 7            1    1.32   -0.55    1.87
2H, N, S, 5            1   -3.58   -0.55   -3.04
2H, N, S, 6            1   -1.25   -0.55   -0.70
2HX, N, C, 7           1   -1.25   -5.29    4.04
3C, N, D, 7            1   -1.25   -1.96    0.71
3C, N, H, 9            1    5.88   -1.96    7.84
3C, N, S, 6            1   -3.58   -1.96   -1.63
3CX, N, C, 6           1  -11.21   -6.95   -4.25
3D, E, C, 10           7   -0.47   -0.68    0.21
3D, E, C, 9            5   -1.03   -0.68   -0.35
3D, E, H, 10           1   -0.47   -0.68    0.21
3D, W, H, 9            1   -1.03   -0.48   -0.55
3NT, E, C, 7           1   -7.75   -1.88   -5.87
3NT, E, C, 8           1   -5.77   -1.88   -3.89
3NT, E, C, 9           1    8.83   -1.88   10.71
3NT, E, D, 9           1    8.83   -1.88   10.71
3NT, E, H, 8           2   -5.77   -1.88   -3.89
3NT, W, C, 11          1    9.68   -5.04   14.72
3NT, W, H, 7           3   -7.75   -5.04   -2.71
3NT, W, H, 8           2   -5.77   -5.04   -0.72
3NT, W, H, 9           1    8.83   -5.04   13.87
3NT, W, S, 8           2   -5.77   -5.04   -0.72
4D, E, H, 10           1   -0.47   -2.49    2.02
4D, E, S, 10           1   -0.47   -2.49    2.02
4S, E, D, 9            1   -5.77   -5.77   -0.00
5D, E, C, 10           1   -5.77   -6.52    0.76

DEFENDER, Board 13|13

Contract           Count Overall     Bid    Lead Restdef
1D, N, D, 3            1    5.62    3.44    2.19    0.00
1D, N, S, 5            1    1.25    3.44   -2.19    0.00
1NT, E, H, 8           1    0.58    0.52    0.06    0.00
1NT, N, D, 3           2    5.62    3.15    0.00    2.47
1NT, N, D, 4           1    3.58    3.15    0.00    0.43
1NT, N, D, 5           2    1.25    3.15    0.00   -1.90
1NT, N, D, 6           1   -1.32    3.15    0.00   -4.48
1NT, W, H, 7           9    1.44    0.89    0.20    0.35
1NT, W, H, 8           4    0.58    0.89    0.20   -0.51
1NT, W, S, 7           1    1.44    0.89   -0.27    0.82
1NT, W, S, 8           2    0.58    0.89   -0.27   -0.03
1NT, W, S, 9           1   -0.06    0.89   -0.27   -0.68
1NTX, N, D, 3          1   13.65    9.94    0.00    3.71
1NTX, N, D, 4          1   11.21    9.94    0.00    1.27
2C, S, C, 7            1   -1.32   -1.32    0.00    0.00
2CX, N, C, 6           1    7.44    4.06    3.38    0.00
2CX, N, S, 5           1   11.21    4.06    5.26    1.88
2D, E, C, 10           2    0.47    0.68    0.02   -0.23
2D, E, C, 9            2    1.03    0.68    0.02    0.33
2D, E, D, 9            1    1.03    0.68    0.35    0.00
2D, W, H, 11           1   -0.06    0.48    0.00   -0.55
2H, N, C, 7            1   -1.32    0.55   -1.87    0.00
2H, N, S, 5            1    3.58    0.55    1.87    1.17
2H, N, S, 6            1    1.25    0.55    1.87   -1.17
2HX, N, C, 7           1    1.25    5.29   -4.04    0.00
3C, N, D, 7            1    1.25    1.96   -0.71    0.00
3C, N, H, 9            1   -5.88    1.96   -7.84    0.00
3C, N, S, 6            1    3.58    1.96    2.65   -1.02
3CX, N, C, 6           1   11.21    6.95    4.25    0.00
3D, E, C, 10           7    0.47    0.68    0.02   -0.23
3D, E, C, 9            5    1.03    0.68    0.02    0.33
3D, E, H, 10           1    0.47    0.68   -0.21    0.00
3D, W, H, 9            1    1.03    0.48    0.00    0.55
3NT, E, C, 7           1    7.75    1.88   -0.32    6.19
3NT, E, C, 8           1    5.77    1.88   -0.32    4.20
3NT, E, C, 9           1   -8.83    1.88   -0.32  -10.39
3NT, E, D, 9           1   -8.83    1.88  -10.71    0.00
3NT, E, H, 8           2    5.77    1.88    3.89    0.00
3NT, W, C, 11          1   -9.68    5.04  -14.72    0.00
3NT, W, H, 7           3    7.75    5.04    1.21    1.50
3NT, W, H, 8           2    5.77    5.04    1.21   -0.49
3NT, W, H, 9           1   -8.83    5.04    1.21  -15.08
3NT, W, S, 8           2    5.77    5.04   -1.38    2.10
4D, E, H, 10           1    0.47    2.49   -2.02    0.00
4D, E, S, 10           1    0.47    2.49   -2.02    0.00
4S, E, D, 9            1    5.77    5.77    0.00    0.00
5D, E, C, 10           1    5.77    6.52    0.06   -0.82

DECLARER, Board 13|14

Contract           Count Overall     Bid    Play
2D, S, H, 7            1   -4.31   -4.98    0.67
2D, S, S, 5            1   -6.31   -4.98   -1.33
2DX, W, D, 7           1    0.95   -2.95    3.90
2H, E, C, 7            2    2.21    2.69   -0.48
2S, W, S, 7            2    2.21    3.56   -1.35
2S, W, S, 9            1    6.26    3.56    2.70
3C, N, C, 8            2   -4.31   -2.40   -1.91
3C, N, C, 9            1   -0.91   -2.40    1.49
3C, N, D, 9            1   -0.91   -2.40    1.49
3C, N, H, 8            2   -4.31   -2.40   -1.91
3C, N, H, 9            5   -0.91   -2.40    1.49
3C, N, S, 8            2   -4.31   -2.40   -1.91
3D, E, H, 7            1    0.95    0.95   -0.00
3D, N, C, 7            1   -5.56   -5.56   -0.00
3D, W, C, 5            1   -1.30   -0.09   -1.21
3D, W, D, 6            2   -0.17   -0.09   -0.08
3D, W, H, 5            1   -1.30   -0.09   -1.21
3D, W, H, 6            1   -0.17   -0.09   -0.08
3D, W, H, 7            2    0.95   -0.09    1.04
3DX, W, C, 4           1  -13.69   -6.95   -6.73
3DX, W, D, 7           1   -3.31   -6.95    3.64
3DX, W, H, 5           1  -11.31   -6.95   -4.36
3DX, W, H, 6           2   -7.36   -6.95   -0.41
3DX, W, H, 7           2   -3.31   -6.95    3.64
3H, E, C, 7            4    0.95    1.13   -0.18
3NT, N, C, 8           1   -4.31    0.96   -5.27
3NT, N, D, 10          1    6.09    0.96    5.13
3NT, N, D, 8           1   -4.31    0.96   -5.27
3NT, N, H, 10          1    6.09    0.96    5.13
3NT, N, H, 8           2   -4.31    0.96   -5.27
3NT, N, H, 9           9    5.45    0.96    4.49
3NT, N, S, 8           4   -4.31    0.96   -5.27
3NT, S, D, 10          1    6.09    3.33    2.76
3NT, S, D, 9           3    5.45    3.33    2.12
3NT, S, H, 5           1   -7.30    3.33  -10.63
3NT, S, H, 9           3    5.45    3.33    2.12
3NTX, N, D, 7          1   -8.75    1.82  -10.57
3NTX, N, H, 9          1    8.29    1.82    6.47
3NTX, N, S, 7          1   -8.75    1.82  -10.57
3NTX, S, D, 10         1    9.55    4.93    4.61
4C, N, C, 8            1   -5.56   -4.86   -0.70
4H, E, D, 8            1    0.95   -0.01    0.96
4NT, S, H, 8           1   -5.56   -2.72   -2.84
5C, N, C, 9            1   -5.56   -5.89    0.33
5CX, N, H, 9           1   -8.75   -9.94    1.18
5DX, S, H, 7           1  -13.92  -14.90    0.98

DEFENDER, Board 13|14

Contract           Count Overall     Bid    Lead Restdef
2D, S, H, 7            1    4.31    4.98   -0.67    0.00
2D, S, S, 5            1    6.31    4.98    1.33    0.00
2DX, W, D, 7           1   -0.95    2.95   -1.77   -2.13
2H, E, C, 7            2   -2.21   -2.69    0.48    0.00
2S, W, S, 7            2   -2.21   -3.56    0.00    1.35
2S, W, S, 9            1   -6.26   -3.56    0.00   -2.70
3C, N, C, 8            2    4.31    2.40    0.55    1.36
3C, N, C, 9            1    0.91    2.40    0.55   -2.04
3C, N, D, 9            1    0.91    2.40   -1.49    0.00
3C, N, H, 8            2    4.31    2.40   -0.64    2.55
3C, N, H, 9            5    0.91    2.40   -0.64   -0.85
3C, N, S, 8            2    4.31    2.40    1.91    0.00
3D, E, H, 7            1   -0.95   -0.95    0.00    0.00
3D, N, C, 7            1    5.56    5.56    0.00    0.00
3D, W, C, 5            1    1.30    0.09    1.69   -0.48
3D, W, D, 6            2    0.17    0.09   -0.48    0.56
3D, W, H, 5            1    1.30    0.09   -0.16    1.38
3D, W, H, 6            1    0.17    0.09   -0.16    0.25
3D, W, H, 7            2   -0.95    0.09   -0.16   -0.87
3DX, W, C, 4           1   13.69    6.95    5.55    1.19
3DX, W, D, 7           1    3.31    6.95   -1.62   -2.03
3DX, W, H, 5           1   11.31    6.95   -0.51    4.87
3DX, W, H, 6           2    7.36    6.95   -0.51    0.92
3DX, W, H, 7           2    3.31    6.95   -0.51   -3.13
3H, E, C, 7            4   -0.95   -1.13    0.18    0.00
3NT, N, C, 8           1    4.31   -0.96    5.27    0.00
3NT, N, D, 10          1   -6.09   -0.96    2.22   -7.35
3NT, N, D, 8           1    4.31   -0.96    2.22    3.05
3NT, N, H, 10          1   -6.09   -0.96   -3.04   -2.09
3NT, N, H, 8           2    4.31   -0.96   -3.04    8.31
3NT, N, H, 9           9   -5.45   -0.96   -3.04   -1.45
3NT, N, S, 8           4    4.31   -0.96    5.52   -0.25
3NT, S, D, 10          1   -6.09   -3.33   -2.38   -0.38
3NT, S, D, 9           3   -5.45   -3.33   -2.38    0.25
3NT, S, H, 5           1    7.30   -3.33    2.38    8.25
3NT, S, H, 9           3   -5.45   -3.33    2.38   -4.50
3NTX, N, D, 7          1    8.75   -1.82    3.41    7.16
3NTX, N, H, 9          1   -8.29   -1.82   -4.44   -2.03
3NTX, N, S, 7          1    8.75   -1.82    8.01    2.56
3NTX, S, D, 10         1   -9.55   -4.93   -3.86   -0.76
4C, N, C, 8            1    5.56    4.86    0.20    0.50
4H, E, D, 8            1   -0.95    0.01   -0.96    0.00
4NT, S, H, 8           1    5.56    2.72    2.57    0.28
5C, N, C, 9            1    5.56    5.89    0.12   -0.45
5CX, N, H, 9           1    8.75    9.94   -0.51   -0.68
5DX, S, H, 7           1   13.92   14.90   -0.98    0.00

DECLARER, Board 13|15

Contract           Count Overall     Bid    Play
2H, E, C, 8           13    3.14    3.09    0.05
2H, E, H, 8            1    3.14    3.09    0.05
3C, E, C, 5            1   -4.17   -4.17   -0.00
3C, S, D, 8            1   -3.12   -4.44    1.32
3H, E, C, 7            2   -2.08   -0.26   -1.82
3H, E, C, 8           29   -0.48   -0.26   -0.22
3H, E, C, 9            3    4.10   -0.26    4.36
3H, E, D, 8            3   -0.48   -0.26   -0.22
3HX, E, C, 9           1   10.30   -1.47   11.77
3NT, E, D, 7           1   -2.08   -2.08   -0.00
3NT, W, C, 8           1   -0.48   -2.76    2.28
3NT, W, S, 2           1   -7.32   -2.76   -4.56
3NTX, W, D, 8          1   -2.08   -7.14    5.06
4CX, S, H, 8           1  -10.21  -11.62    1.41
4H, E, C, 8            7   -2.08   -2.02   -0.06
4H, E, S, 8            1   -2.08   -2.02   -0.06
4HX, E, C, 8           4   -6.26   -6.12   -0.14
4HX, E, D, 8           1   -6.26   -6.12   -0.14
4HX, E, S, 8           3   -6.26   -6.12   -0.14
4HX, W, C, 8           1   -6.26   -6.26   -0.00
4SX, N, D, 7           1  -12.71  -12.71   -0.00
5CX, S, H, 6           1  -15.97  -13.80   -2.17

DEFENDER, Board 13|15

Contract           Count Overall     Bid    Lead Restdef
2H, E, C, 8           13   -3.14   -3.09    0.01   -0.06
2H, E, H, 8            1   -3.14   -3.09   -0.05    0.00
3C, E, C, 5            1    4.17    4.17    0.00    0.00
3C, S, D, 8            1    3.12    4.44   -1.32    0.00
3H, E, C, 7            2    2.08    0.26   -0.03    1.85
3H, E, C, 8           29    0.48    0.26   -0.03    0.26
3H, E, C, 9            3   -4.10    0.26   -0.03   -4.33
3H, E, D, 8            3    0.48    0.26    0.22    0.00
3HX, E, C, 9           1  -10.30    1.47   -0.09  -11.68
3NT, E, D, 7           1    2.08    2.08    0.00    0.00
3NT, W, C, 8           1    0.48    2.76   -2.28    0.00
3NT, W, S, 2           1    7.32    2.76    4.56    0.00
3NTX, W, D, 8          1    2.08    7.14   -5.06    0.00
4CX, S, H, 8           1   10.21   11.62    0.70   -2.11
4H, E, C, 8            7    2.08    2.02   -0.01    0.07
4H, E, S, 8            1    2.08    2.02    0.06    0.00
4HX, E, C, 8           4    6.26    6.12   -0.02    0.16
4HX, E, D, 8           1    6.26    6.12    0.14    0.00
4HX, E, S, 8           3    6.26    6.12    0.14    0.00
4HX, W, C, 8           1    6.26    6.26    0.00    0.00
4SX, N, D, 7           1   12.71   12.71    0.00    0.00
5CX, S, H, 6           1   15.97   13.80    0.54    1.63

DECLARER, Board 13|16

Contract           Count Overall     Bid    Play
2D, S, S, 10           1    0.90    0.82    0.07
2S, W, H, 8            1    4.35   -0.05    4.41
2SX, W, C, 6           2   -8.25   -1.69   -6.56
3C, E, C, 9            1    4.35    4.39   -0.04
3C, E, D, 9            1    4.35    4.39   -0.04
3CX, E, C, 9           1   11.95   12.24   -0.29
3CX, E, S, 9           1   11.95   12.24   -0.29
3CX, W, C, 10          1   13.40   13.04    0.36
3CX, W, H, 9           1   11.95   13.04   -1.09
3D, N, C, 11           1    1.25    1.12    0.13
3D, N, D, 10           1    0.90    1.12   -0.23
3D, N, S, 10           3    0.90    1.12   -0.23
3D, S, S, 10           5    0.90    0.82    0.07
3H, S, C, 12           1    3.03    1.07    1.95
3NT, N, C, 9           6    6.44    6.44   -0.00
3NT, N, D, 9           1    6.44    6.44   -0.00
4C, W, D, 10           1    4.56    3.39    1.17
4CX, E, S, 10          1   12.44    0.71   11.73
4D, N, C, 12           1    1.83    1.12    0.71
4D, N, S, 10           1    0.90    1.12   -0.23
4D, S, S, 10           1    0.90    0.31    0.58
4D, S, S, 9            2   -2.97    0.31   -3.29
4DX, S, S, 10          1    8.40    6.48    1.92
4H, N, S, 8            1   -4.34   -3.66   -0.68
4H, N, S, 9            1   -2.97   -3.66    0.68
4H, S, S, 10          10    6.75    3.99    2.77
4H, S, S, 7            1   -5.13    3.99   -9.12
4H, S, S, 8            1   -4.34    3.99   -8.32
4H, S, S, 9            2   -2.97    3.99   -6.96
4SX, W, D, 7           1  -11.95  -12.05    0.10
5C, N, C, 4            1   -8.31   -8.31   -0.00
5CX, W, C, 10          1   -2.22   -3.73    1.51
5D, N, D, 12           2    6.75   -0.22    6.97
5D, N, S, 10           4   -2.97   -0.22   -2.76
5D, S, S, 10           9   -2.97   -2.82   -0.15
5D, S, S, 11           1    6.44   -2.82    9.26
5D, S, S, 9            1   -4.34   -2.82   -1.52
5DX, N, S, 10          1   -4.34   -0.28   -4.06
5DX, S, H, 9           1   -7.52   -4.32   -3.20
5DX, S, S, 10          4   -4.34   -4.32   -0.02

DEFENDER, Board 13|16

Contract           Count Overall     Bid    Lead Restdef
2D, S, S, 10           1   -0.90   -0.82   -0.02   -0.05
2S, W, H, 8            1   -4.35    0.05   -4.41    0.00
2SX, W, C, 6           2    8.25    1.69    6.56    0.00
