DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2CX, W, C, 3           1  -12.00  -12.00    0.00
3NT, E, D, 9           1    7.69   -1.05    8.75
3NT, E, S, 8           3   -3.24   -1.05   -2.19
3NT, W, S, 8          14   -3.26   -2.70   -0.57
3S, N, C, 7            1   -3.41   -3.41    0.00
4C, E, S, 10           1    1.65   -2.36    4.01
4C, W, S, 9            1   -3.25   -1.69   -1.56

DEFENDER, Board 14|15

Contract           Count Overall     Bid    Lead Restdef
1NT, W, D, 10          1   -3.00   -1.46   -0.56   -0.97
1NT, W, D, 8           1   -1.38   -1.46   -0.56    0.64
2C, W, D, 10           5   -1.70   -1.09   -0.72    0.11
2C, W, H, 10           1   -1.70   -1.09   -0.38   -0.23
2C, W, H, 8            1   -0.40   -1.09   -0.38    1.08
2C, W, S, 9            9   -0.83   -1.09    0.17    0.09
2NT, W, D, 8           1   -1.38   -1.46   -0.56    0.64
2NT, W, S, 8           3   -1.38   -1.46   -0.01    0.09
3C, E, H, 8            1    3.22   -0.02    1.16    2.09
3C, E, H, 9            1   -0.81   -0.02    1.16   -1.95
3C, E, S, 9            1   -0.81   -0.02   -1.34    0.55
3C, W, H, 10           5   -1.70   -0.87    0.31   -1.14
3C, W, H, 8            1    3.21   -0.87    0.31    3.77
3C, W, S, 9           10   -0.82   -0.87   -0.05    0.10
3D, N, C, 7            1    3.41    3.41    0.11   -0.11
3NT, E, D, 8           1    3.24    1.05   -3.42    5.61
3NT, E, D, 9           1   -7.69    1.05   -3.42   -5.33
3NT, E, S, 8           3    3.24    1.05    2.14    0.05
3NT, W, S, 8          14    3.26    2.70    0.49    0.07
3S, N, C, 7            1    3.41    3.41    0.11   -0.11
4C, E, S, 10           1   -1.65    2.36   -1.67   -2.34
4C, W, S, 9            1    3.25    1.69    1.50    0.06

DECLARER, Board 14|16

Contract           Count Overall     Bid    Play
1NT, N, C, 8          33    0.32    0.39   -0.07
1NT, N, C, 9           4    1.23    0.39    0.84
1NT, N, D, 8           2    0.32    0.39   -0.07
1NT, N, H, 7           1   -0.67    0.39   -1.07
1NT, N, H, 8           7    0.32    0.39   -0.07
1NT, N, S, 8           8    0.32    0.39   -0.07
2NT, N, H, 8           1    0.32    0.33   -0.01
2NT, N, S, 8           2    0.32    0.33   -0.01
3NT, N, C, 10          1    7.18   -3.76   10.94
3NT, N, C, 8           3   -4.66   -3.76   -0.90
3NT, N, H, 8           2   -4.66   -3.76   -0.90

DEFENDER, Board 14|16

Contract           Count Overall     Bid    Lead Restdef
1NT, N, C, 8          33   -0.32   -0.39    0.02    0.05
1NT, N, C, 9           4   -1.23   -0.39    0.02   -0.86
1NT, N, D, 8           2   -0.32   -0.39    0.15   -0.08
1NT, N, H, 7           1    0.67   -0.39    0.25    0.82
1NT, N, H, 8           7   -0.32   -0.39    0.25   -0.17
1NT, N, S, 8           8   -0.32   -0.39    0.15   -0.08
2NT, N, H, 8           1   -0.32   -0.33    0.54   -0.53
2NT, N, S, 8           2   -0.32   -0.33    0.09   -0.08
3NT, N, C, 10          1   -7.18    3.76   -0.45  -10.49
3NT, N, C, 8           3    4.66    3.76   -0.45    1.36
3NT, N, H, 8           2    4.66    3.76    1.08   -0.18

DECLARER, Board 14|17

Contract           Count Overall     Bid    Play
2DX, N, H, 6           1  -10.19   -6.91   -3.28
2H, E, S, 7            1    6.15    7.08   -0.94
2HX, E, H, 8           1   11.78    7.98    3.80
2HX, E, S, 6           1    1.13    7.98   -6.85
2HX, E, S, 7           2    5.19    7.98   -2.79
2HX, E, S, 8           1   11.78    7.98    3.80
2HX, W, S, 6           1    1.00    1.00    0.00
2NT, W, S, 7           1    6.12    6.12    0.00
2NTX, E, D, 8          1   12.38   12.61   -0.23
2NTX, E, D, 9          1   12.85   12.61    0.23
2NTX, E, S, 8          1   12.38   12.61   -0.23
3D, N, H, 8            1   -7.54   -8.10    0.57
3H, E, S, 8            1    6.10    5.51    0.59
3HX, E, S, 8           1    5.07    2.50    2.57
3NT, E, S, 9           1   11.23    8.71    2.51
3SX, S, S, 11          1    8.00    6.67    1.34
4S, N, H, 10           1    1.59    1.59    0.00
4S, S, C, 10           1    1.59    1.81   -0.22
4S, S, D, 10          13    1.59    1.81   -0.22
4S, S, D, 11           4    2.40    1.81    0.59
4S, S, H, 10           9    1.59    1.81   -0.22
4S, S, S, 10           2    1.59    1.81   -0.22
4S, S, S, 11           4    2.40    1.81    0.59
4SX, S, D, 11          2    7.55    6.19    1.36
4SX, S, H, 10          6    5.68    6.19   -0.51
4SX, S, H, 11          1    7.55    6.19    1.36
5CX, W, D, 7           1   -9.29   -4.19   -5.10
5CX, W, D, 9           1    0.91   -4.19    5.10
5SX, S, C, 10          1   -8.20   -4.15   -4.05
6C, E, S, 9            1    4.23    4.23    0.00

DEFENDER, Board 14|17

Contract           Count Overall     Bid    Lead Restdef
2DX, N, H, 6           1   10.19    6.91   -0.12    3.39
2H, E, S, 7            1   -6.15   -7.08    0.32    0.61
2HX, E, H, 8           1  -11.78   -7.98   -3.86    0.06
2HX, E, S, 6           1   -1.13   -7.98    0.63    6.21
2HX, E, S, 7           2   -5.19   -7.98    0.63    2.16
2HX, E, S, 8           1  -11.78   -7.98    0.63   -4.44
2HX, W, S, 6           1   -1.00   -1.00    0.10   -0.10
2NT, W, S, 7           1   -6.12   -6.12    0.10   -0.10
2NTX, E, D, 8          1  -12.38  -12.61    0.00    0.23
2NTX, E, D, 9          1  -12.85  -12.61    0.00   -0.24
2NTX, E, S, 8          1  -12.38  -12.61    0.00    0.23
3D, N, H, 8            1    7.54    8.10   -0.16   -0.41
3H, E, S, 8            1   -6.10   -5.51    0.20   -0.79
3HX, E, S, 8           1   -5.07   -2.50    0.47   -3.03
3NT, E, S, 9           1  -11.23   -8.71    0.06   -2.57
3SX, S, S, 11          1   -8.00   -6.67   -0.82   -0.52
4S, N, H, 10           1   -1.59   -1.59   -0.10    0.10
4S, S, C, 10           1   -1.59   -1.81    0.13    0.09
4S, S, D, 10          13   -1.59   -1.81   -0.13    0.35
4S, S, D, 11           4   -2.40   -1.81   -0.13   -0.46
4S, S, H, 10           9   -1.59   -1.81    0.08    0.14
4S, S, S, 10           2   -1.59   -1.81   -0.45    0.67
4S, S, S, 11           4   -2.40   -1.81   -0.45   -0.14
4SX, S, D, 11          2   -7.55   -6.19   -0.12   -1.24
4SX, S, H, 10          6   -5.68   -6.19    0.36    0.15
4SX, S, H, 11          1   -7.55   -6.19    0.36   -1.72
5CX, W, D, 7           1    9.29    4.19    0.06    5.04
5CX, W, D, 9           1   -0.91    4.19    0.06   -5.16
5SX, S, C, 10          1    8.20    4.15    4.04    0.01
6C, E, S, 9            1   -4.23   -4.23    0.12   -0.12

DECLARER, Board 14|18

Contract           Count Overall     Bid    Play
2H, E, C, 10           1    1.44    0.92    0.52
2H, E, C, 9            1    0.44    0.92   -0.48
2H, E, H, 10           1    1.44    0.92    0.52
3C, W, S, 8            1   -3.81   -3.81    0.00
3D, E, D, 9            1   -0.23   -0.23    0.00
3H, E, C, 10           1    1.44    0.92    0.52
3H, E, D, 10           1    1.44    0.92    0.52
3NT, E, S, 5           1   -7.16   -7.16    0.00
3NT, W, S, 6           1   -6.05   -5.13   -0.92
3NT, W, S, 7           4   -5.32   -5.13   -0.19
3NT, W, S, 8           2   -3.84   -5.13    1.29
3S, N, H, 8            1    0.59    0.59    0.00
4H, E, C, 10           7    6.29    1.07    5.22
4H, E, C, 9           14   -3.73    1.07   -4.81
4H, E, D, 10           2    6.29    1.07    5.22
4H, E, D, 9            3   -3.73    1.07   -4.81
4H, E, H, 10           3    6.29    1.07    5.22
4H, E, H, 9            3   -3.73    1.07   -4.81
4H, E, S, 10           7    6.29    1.07    5.22
4H, E, S, 9            3   -3.73    1.07   -4.81
4H, W, S, 10           2    6.32    2.98    3.34
4H, W, S, 9            1   -3.70    2.98   -6.69
4NT, W, S, 6           1   -7.13   -6.16   -0.97
5H, E, S, 9            1   -5.30   -4.60   -0.71

DEFENDER, Board 14|18

Contract           Count Overall     Bid    Lead Restdef
2H, E, C, 10           1   -1.44   -0.92   -0.09   -0.43
2H, E, C, 9            1   -0.44   -0.92   -0.09    0.57
2H, E, H, 10           1   -1.44   -0.92   -0.29   -0.23
3C, W, S, 8            1    3.81    3.81   -0.17    0.17
3D, E, D, 9            1    0.23    0.23   -0.18    0.18
3H, E, C, 10           1   -1.44   -0.92   -0.09   -0.43
3H, E, D, 10           1   -1.44   -0.92   -0.22   -0.30
3NT, E, S, 5           1    7.16    7.16   -0.14    0.14
3NT, W, S, 6           1    6.05    5.13   -0.14    1.07
3NT, W, S, 7           4    5.32    5.13   -0.14    0.33
3NT, W, S, 8           2    3.84    5.13   -0.14   -1.15
3S, N, H, 8            1   -0.59   -0.59    0.20   -0.20
4H, E, C, 10           7   -6.29   -1.07    0.89   -6.12
4H, E, C, 9           14    3.73   -1.07    0.89    3.91
4H, E, D, 10           2   -6.29   -1.07   -0.38   -4.84
4H, E, D, 9            3    3.73   -1.07   -0.38    5.19
4H, E, H, 10           3   -6.29   -1.07   -1.11   -4.11
4H, E, H, 9            3    3.73   -1.07   -1.11    5.91
4H, E, S, 10           7   -6.29   -1.07   -1.77   -3.45
4H, E, S, 9            3    3.73   -1.07   -1.77    6.58
4H, W, S, 10           2   -6.32   -2.98   -0.17   -3.17
4H, W, S, 9            1    3.70   -2.98   -0.17    6.86
4NT, W, S, 6           1    7.13    6.16   -0.14    1.10
5H, E, S, 9            1    5.30    4.60   -0.39    1.10

DECLARER, Board 14|19

Contract           Count Overall     Bid    Play
3D, S, C, 9            1    1.06    1.06    0.00
4C, W, S, 9            1   -0.92   -0.37   -0.55
4S, N, C, 10           6    7.19    6.68    0.51
4S, N, H, 10           3    7.19    6.68    0.51
4SX, N, C, 10          4    9.55    8.86    0.70
4SX, N, D, 9           1   -3.11    8.86  -11.96
5C, E, S, 9            1   -2.96   -2.96    0.00
5C, W, S, 12           1   11.44   -1.50   12.94
5C, W, S, 9            5   -2.94   -1.50   -1.44
5H, E, D, 12           1   12.05   12.05    0.00
5S, N, C, 10           3   -1.91   -1.59   -0.32
5S, N, H, 10           2   -1.91   -1.59   -0.32
5SX, N, C, 10         14   -3.28   -2.92   -0.36
5SX, N, C, 9           2   -6.97   -2.92   -4.05
5SX, N, H, 10          7   -3.28   -2.92   -0.36
5SX, N, S, 12          1   11.17   -2.92   14.09
5SX, S, C, 10          1   -3.29   -3.29    0.00
6C, W, S, 9            3   -5.08   -2.98   -2.10
6H, W, D, 11           1   -0.93   -0.93    0.00
6S, N, H, 10           1   -3.28   -2.68   -0.59
6SX, N, C, 10          3   -7.04   -6.33   -0.71
6SX, N, H, 10          1   -7.04   -6.33   -0.71
6SX, N, S, 12          1   14.87   -6.33   21.21

DEFENDER, Board 14|19

Contract           Count Overall     Bid    Lead Restdef
3D, S, C, 9            1   -1.06   -1.06    0.17   -0.17
4C, W, S, 9            1    0.92    0.37   -0.17    0.72
4S, N, C, 10           6   -7.19   -6.68    0.23   -0.75
4S, N, H, 10           3   -7.19   -6.68   -0.34   -0.18
4SX, N, C, 10          4   -9.55   -8.86    0.29   -0.99
4SX, N, D, 9           1    3.11   -8.86   12.32   -0.35
5C, E, S, 9            1    2.96    2.96   -0.18    0.18
5C, W, S, 12           1  -11.44    1.50   -0.18  -12.77
5C, W, S, 9            5    2.94    1.50   -0.18    1.62
5H, E, D, 12           1  -12.05  -12.05   -0.15    0.15
5S, N, C, 10           3    1.91    1.59    0.57   -0.25
5S, N, H, 10           2    1.91    1.59    0.49   -0.17
5SX, N, C, 10         14    3.28    2.92    0.78   -0.41
5SX, N, C, 9           2    6.97    2.92    0.78    3.27
5SX, N, H, 10          7    3.28    2.92    0.54   -0.18
5SX, N, S, 12          1  -11.17    2.92  -14.08   -0.01
5SX, S, C, 10          1    3.29    3.29    0.17   -0.17
6C, W, S, 9            3    5.08    2.98   -0.15    2.25
6H, W, D, 11           1    0.93    0.93   -0.18    0.18
6S, N, H, 10           1    3.28    2.68    0.78   -0.18
6SX, N, C, 10          3    7.04    6.33    1.04   -0.33
6SX, N, H, 10          1    7.04    6.33    0.86   -0.15
6SX, N, S, 12          1  -14.87    6.33  -21.30    0.09

DECLARER, Board 14|20

Contract           Count Overall     Bid    Play
2S, W, C, 10           1    0.97    0.77    0.20
3NT, E, C, 9           1    7.33    7.53   -0.20
3NT, E, D, 10          1    7.73    7.53    0.20
4S, E, D, 10           1    7.68    4.97    2.71
4S, E, D, 9            1   -3.16    4.97   -8.13
4S, W, C, 10           6    7.66    3.44    4.21
4S, W, C, 9            1   -3.19    3.44   -6.63
4S, W, D, 10          13    7.66    3.44    4.21
4S, W, D, 8            3   -5.13    3.44   -8.58
4S, W, D, 9            9   -3.19    3.44   -6.63
4S, W, S, 10           3    7.66    3.44    4.21
4S, W, S, 9            1   -3.19    3.44   -6.63
4SX, W, D, 10          1   10.19    4.13    6.06
6S, E, C, 10           2   -5.29   -5.74    0.46
6S, W, C, 10           3   -5.30   -6.05    0.76
6S, W, D, 10           6   -5.30   -6.05    0.76
6S, W, D, 9            6   -7.12   -6.05   -1.07
6S, W, S, 10           1   -5.30   -6.05    0.76
6SX, W, C, 10          1  -10.12  -11.38    1.26
6SX, W, D, 9           2  -13.21  -11.38   -1.83
6SX, W, S, 10          1  -10.12  -11.38    1.26

DEFENDER, Board 14|20

Contract           Count Overall     Bid    Lead Restdef
2S, W, C, 10           1   -0.97   -0.77   -0.29    0.09
3NT, E, C, 9           1   -7.33   -7.53    0.13    0.07
3NT, E, D, 10          1   -7.73   -7.53   -0.28    0.08
4S, E, D, 10           1   -7.68   -4.97    2.69   -5.40
4S, E, D, 9            1    3.16   -4.97    2.69    5.44
4S, W, C, 10           6   -7.66   -3.44   -3.43   -0.78
4S, W, C, 9            1    3.19   -3.44   -3.43   10.06
4S, W, D, 10          13   -7.66   -3.44    1.31   -5.52
4S, W, D, 8            3    5.13   -3.44    1.31    7.27
4S, W, D, 9            9    3.19   -3.44    1.31    5.32
4S, W, S, 10           3   -7.66   -3.44   -2.51   -1.70
4S, W, S, 9            1    3.19   -3.44   -2.51    9.14
4SX, W, D, 10          1  -10.19   -4.13    1.94   -8.00
6S, E, C, 10           2    5.29    5.74   -0.54    0.08
6S, W, C, 10           3    5.30    6.05   -0.69   -0.07
6S, W, D, 10           6    5.30    6.05    0.18   -0.94
6S, W, D, 9            6    7.12    6.05    0.18    0.89
6S, W, S, 10           1    5.30    6.05   -0.53   -0.23
6SX, W, C, 10          1   10.12   11.38   -1.09   -0.17
6SX, W, D, 9           2   13.21   11.38    0.38    1.45
6SX, W, S, 10          1   10.12   11.38   -0.82   -0.44

DECLARER, Board 15|21

Contract           Count Overall     Bid    Play
3NT, E, D, 10          1   -0.40    0.63   -1.02
3NT, E, D, 11         41    0.57    0.63   -0.06
3NT, E, D, 12          3    1.52    0.63    0.90
3NT, E, H, 11          2    0.57    0.63   -0.06
3NT, E, S, 11          2    0.57    0.63   -0.06
3NT, E, S, 12          1    1.52    0.63    0.90
3NT, W, D, 11          2    0.58    1.26   -0.68
3NT, W, D, 12          4    1.54    1.26    0.27
4C, E, D, 11           1   -6.52   -6.52    0.00
4H, E, D, 8            1  -10.63  -10.63    0.00
4NT, E, D, 11          1    0.57    0.63   -0.06
4NT, W, D, 12          1    1.54    1.26    0.27
5C, W, D, 11           2   -1.38   -1.38    0.00
6C, E, H, 11           1  -10.48  -10.48    0.00
6C, W, D, 11           1  -10.48  -10.48    0.00

DEFENDER, Board 15|21

Contract           Count Overall     Bid    Lead Restdef
3NT, E, D, 10          1    0.40   -0.63    0.01    1.01
3NT, E, D, 11         41   -0.57   -0.63    0.01    0.04
3NT, E, D, 12          3   -1.52   -0.63    0.01   -0.91
3NT, E, H, 11          2   -0.57   -0.63    0.06   -0.00
3NT, E, S, 11          2   -0.57   -0.63   -0.27    0.32
3NT, E, S, 12          1   -1.52   -0.63   -0.27   -0.63
3NT, W, D, 11          2   -0.58   -1.26    0.00    0.68
3NT, W, D, 12          4   -1.54   -1.26    0.00   -0.27
4C, E, D, 11           1    6.52    6.52    0.00    0.00
4H, E, D, 8            1   10.63   10.63    0.00    0.00
4NT, E, D, 11          1   -0.57   -0.63    0.01    0.04
4NT, W, D, 12          1   -1.54   -1.26    0.00   -0.27
5C, W, D, 11           2    1.38    1.38    0.00   -0.00
6C, E, H, 11           1   10.48   10.48   -0.00    0.00
6C, W, D, 11           1   10.48   10.48   -0.00    0.00

DECLARER, Board 15|22

Contract           Count Overall     Bid    Play
2H, E, D, 10           1   -9.03   -8.92   -0.11
3H, E, D, 10           1   -9.03   -8.92   -0.11
3NT, E, D, 8           3  -11.58  -11.58    0.00
3NT, W, C, 10          1    0.77    0.77    0.00
4H, E, D, 10          48    0.76    0.90   -0.13
4H, E, D, 11           7    1.74    0.90    0.84
4H, E, H, 10           1    0.76    0.90   -0.13
4H, E, H, 11           1    1.74    0.90    0.84
4H, W, D, 10           1    0.76    0.76    0.00

DEFENDER, Board 15|22

Contract           Count Overall     Bid    Lead Restdef
2H, E, D, 10           1    9.03    8.92   -0.01    0.12
3H, E, D, 10           1    9.03    8.92   -0.01    0.12
3NT, E, D, 8           3   11.58   11.58    0.00   -0.00
3NT, W, C, 10          1   -0.77   -0.77    0.00   -0.00
4H, E, D, 10          48   -0.76   -0.90    0.01    0.12
4H, E, D, 11           7   -1.74   -0.90    0.01   -0.85
4H, E, H, 10           1   -0.76   -0.90   -0.36    0.49
4H, E, H, 11           1   -1.74   -0.90   -0.36   -0.48
4H, W, D, 10           1   -0.76   -0.76   -0.00    0.00

DECLARER, Board 15|23

Contract           Count Overall     Bid    Play
1NT, S, C, 7           6   -1.37   -0.63   -0.74
1NT, S, S, 9           1    0.06   -0.63    0.68
2D, N, C, 9            1   -0.74   -0.74    0.00
2D, N, D, 9            1   -0.74   -0.74    0.00
2D, S, D, 9            1   -0.74   -0.61   -0.13
2NT, S, C, 7           3   -4.87   -2.02   -2.86
2NT, S, C, 8           1   -0.41   -2.02    1.61
2NT, S, H, 6           1   -6.92   -2.02   -4.90
2NT, S, H, 9           1    0.03   -2.02    2.05
2NT, S, S, 9           7    0.03   -2.02    2.05
2S, E, D, 6            1   -1.42   -1.42    0.00
3D, N, C, 9            1   -0.74   -0.74    0.00
3D, N, S, 9            1   -0.74   -0.74    0.00
3D, S, H, 10           2   -0.22   -0.61    0.39
3D, S, H, 9            3   -0.74   -0.61   -0.13
3D, S, S, 9            2   -0.74   -0.61   -0.13
3H, W, D, 8            1    1.23    1.23    0.00
3NT, N, C, 7           2   -6.89    2.31   -9.20
3NT, N, H, 9           1    8.44    2.31    6.13
3NT, N, S, 9           2    8.44    2.31    6.13
3NT, S, C, 7           6   -6.90    1.07   -7.97
3NT, S, C, 8           1   -4.85    1.07   -5.92
3NT, S, H, 7           2   -6.90    1.07   -7.97
3NT, S, H, 8           2   -4.85    1.07   -5.92
3NT, S, H, 9           8    8.42    1.07    7.35
3NT, S, S, 9           6    8.42    1.07    7.35

DEFENDER, Board 15|23

Contract           Count Overall     Bid    Lead Restdef
1NT, S, C, 7           6    1.37    0.63    1.06   -0.32
1NT, S, S, 9           1   -0.06    0.63   -0.30   -0.39
2D, N, C, 9            1    0.74    0.74    0.38   -0.38
