DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2D, N, S, 7            1   35.92   35.92   50.00
pass                   2   59.86   59.86   50.00   50.00

DECLARER, Board 27|3

Contract           Count Overall     Bid    Play
3NT, E, S, 10          4   89.29   61.94   77.35
3NT, E, S, 11          1   95.71   61.94   83.78
3NT, E, S, 12          1   97.14   61.94   85.20
3NT, E, S, 7           2    5.71   61.94   -6.22
3NT, E, S, 9           2   57.14   61.94   45.20
3NT, W, S, 8           1   19.29   19.29   50.00
3NTX, E, S, 9          1   98.57   71.94   76.63
3SX, N, C, 8           1   68.57   72.06   46.51
4C, E, S, 9            1   19.29   28.96   40.32
4H, E, C, 10           2   73.57   69.22   54.35
4H, E, H, 10           2   73.57   69.22   54.35
4H, E, S, 10           5   73.57   69.22   54.35
4H, E, S, 8            1    5.71   69.22  -13.51
4H, W, C, 10           1   73.57   61.32   62.25
4H, W, D, 10           2   73.57   61.32   62.25
4H, W, D, 9            1   19.29   61.32    7.96
4H, W, S, 10           6   73.57   61.32   62.25
4H, W, S, 11           1   93.57   61.32   82.25
4H, W, S, 8            1    5.71   61.32   -5.61
4H, W, S, 9            3   19.29   61.32    7.96
4NT, E, D, 8           1    5.71   51.07    4.64
4NT, E, S, 8           1    5.71   51.07    4.64
4SX, N, H, 8           1   57.14   58.41   48.73
4SX, N, S, 8          11   57.14   58.41   48.73
4SX, N, S, 9           2   68.57   58.41   60.16
4SX, S, D, 7           1   47.14   52.14   45.00
4SX, S, S, 8           1   57.14   52.14   55.00
5C, E, D, 11           1   57.14   27.38   79.76
5C, W, H, 11           1   57.14   57.14   50.00
5C, W, S, 11           1   57.14   57.14   50.00
5H, W, S, 10           2   19.29   23.04   46.25
5H, W, S, 11           1   93.57   23.04  120.54
6C, E, S, 10           1    5.71    8.33   47.38
6H, E, S, 11           1   19.29    6.43   62.86
6H, W, D, 10           1    5.71    5.64   50.07
6H, W, S, 10           1    5.71    5.64   50.07
6NT, E, S, 11          1   19.29   11.53   57.76
6SX, N, S, 8           1    0.00    5.24   44.76
pass                   2   72.14   72.14   50.00

DEFENDER, Board 27|3

Contract           Count Overall     Bid    Lead Restdef
3NT, E, S, 10          4   10.71   38.06   46.72   25.93
3NT, E, S, 11          1    4.29   38.06   46.72   19.51
3NT, E, S, 12          1    2.86   38.06   46.72   18.08
3NT, E, S, 7           2   94.29   38.06   46.72  109.51
3NT, E, S, 9           2   42.86   38.06   46.72   58.08
3NT, W, S, 8           1   80.71   80.71   50.00   50.00
3NTX, E, S, 9          1    1.43   28.06   44.91   28.46
3SX, N, C, 8           1   31.43   27.94   53.49   50.00
4C, E, S, 9            1   80.71   71.04   52.42   57.26
4H, E, C, 10           2   26.43   30.78   45.65   50.00
4H, E, H, 10           2   26.43   30.78   45.65   50.00
4H, E, S, 10           5   26.43   30.78   52.49   43.16
4H, E, S, 8            1   94.29   30.78   52.49  111.02
4H, W, C, 10           1   26.43   38.68   37.75   50.00
4H, W, D, 10           2   26.43   38.68   51.32   36.43
4H, W, D, 9            1   80.71   38.68   51.32   90.71
4H, W, S, 10           6   26.43   38.68   50.46   37.29
4H, W, S, 11           1    6.43   38.68   50.46   17.29
4H, W, S, 8            1   94.29   38.68   50.46  105.14
4H, W, S, 9            3   80.71   38.68   50.46   91.57
4NT, E, D, 8           1   94.29   48.93   95.36   50.00
4NT, E, S, 8           1   94.29   48.93   46.51   98.85
4SX, N, H, 8           1   42.86   41.59   51.27   50.00
4SX, N, S, 8          11   42.86   41.59   49.84   51.43
4SX, N, S, 9           2   31.43   41.59   49.84   40.00
4SX, S, D, 7           1   52.86   47.86   55.00   50.00
4SX, S, S, 8           1   42.86   47.86   45.00   50.00
5C, E, D, 11           1   42.86   72.62   20.24   50.00
5C, W, H, 11           1   42.86   42.86   50.00   50.00
5C, W, S, 11           1   42.86   42.86   50.00   50.00
5H, W, S, 10           2   80.71   76.96   47.85   55.90
5H, W, S, 11           1    6.43   76.96   47.85  -18.38
6C, E, S, 10           1   94.29   91.67   55.48   47.14
6H, E, S, 11           1   80.71   93.57   49.59   37.55
6H, W, D, 10           1   94.29   94.36   51.36   48.57
6H, W, S, 10           1   94.29   94.36   49.64   50.29
6NT, E, S, 11          1   80.71   88.47   49.11   43.13
6SX, N, S, 8           1  100.00   94.76   49.35   55.89
pass                   2   27.86   27.86   50.00   50.00

DECLARER, Board 27|4

Contract           Count Overall     Bid    Play
2S, W, D, 9            1   69.72   69.11   50.60
2S, W, H, 8            1   67.61   69.11   48.49
3D, N, H, 8            1   33.80   33.80   50.00
3NT, E, D, 11          1   98.59   67.23   81.37
3NT, E, H, 10          3   90.14   67.23   72.91
3NT, E, H, 11          2   98.59   67.23   81.37
3NT, E, H, 6           3    2.11   67.23  -15.11
3NT, E, H, 9           4   75.35   67.23   58.13
3S, W, H, 9            1   69.72   61.99   57.73
4C, E, D, 11           1   71.83   71.83   50.00
4S, E, D, 8            1   15.49   37.15   28.35
4S, E, H, 9            3   44.37   37.15   57.22
4S, W, C, 8            1   15.49   43.34   22.15
4S, W, C, 9            2   44.37   43.34   51.02
4S, W, D, 10           4   83.10   43.34   89.76
4S, W, D, 11           2   94.37   43.34  101.02
4S, W, D, 8            2   15.49   43.34   22.15
4S, W, D, 9            9   44.37   43.34   51.02
4S, W, H, 10           3   83.10   43.34   89.76
4S, W, H, 11           1   94.37   43.34  101.02
4S, W, H, 7            1    2.11   43.34    8.77
4S, W, H, 8           11   15.49   43.34   22.15
4S, W, H, 9           12   44.37   43.34   51.02
pass                   2   35.92   35.92   50.00

DEFENDER, Board 27|4

Contract           Count Overall     Bid    Lead Restdef
2S, W, D, 9            1   30.28   30.89   48.80   50.60
2S, W, H, 8            1   32.39   30.89   50.67   50.84
3D, N, H, 8            1   66.20   66.20   50.00   50.00
3NT, E, D, 11          1    1.41   32.77   18.63   50.00
3NT, E, H, 10          3    9.86   32.77   52.61   24.47
3NT, E, H, 11          2    1.41   32.77   52.61   16.02
3NT, E, H, 6           3   97.89   32.77   52.61  112.50
3NT, E, H, 9           4   24.65   32.77   52.61   39.26
3S, W, H, 9            1   30.28   38.01   53.16   39.11
4C, E, D, 11           1   28.17   28.17   50.00   50.00
4S, E, D, 8            1   84.51   62.85   71.65   50.00
4S, E, H, 9            3   55.63   62.85   42.78   50.00
4S, W, C, 8            1   84.51   56.66   58.60   69.25
4S, W, C, 9            2   55.63   56.66   58.60   40.38
4S, W, D, 10           4   16.90   56.66   38.02   22.22
4S, W, D, 11           2    5.63   56.66   38.02   10.95
4S, W, D, 8            2   84.51   56.66   38.02   89.83
4S, W, D, 9            9   55.63   56.66   38.02   60.95
4S, W, H, 10           3   16.90   56.66   55.93    4.31
4S, W, H, 11           1    5.63   56.66   55.93   -6.95
4S, W, H, 7            1   97.89   56.66   55.93   85.30
4S, W, H, 8           11   84.51   56.66   55.93   71.92
4S, W, H, 9           12   55.63   56.66   55.93   43.05
pass                   2   64.08   64.08   50.00   50.00

DECLARER, Board 28|5

Contract           Count Overall     Bid    Play
2HX, E, H, 6           1   42.75   42.75   50.00
3D, N, H, 11           2   52.17   49.11   53.07
3D, N, H, 12           1   55.07   49.11   55.96
3D, S, S, 10           1   47.83   47.83   50.00
3NT, N, C, 10          2   80.43   56.59   73.84
3NT, N, C, 8           8   26.81   56.59   20.22
3NT, N, C, 9           1   71.74   56.59   65.14
3NT, N, D, 11          1   87.68   56.59   81.09
3NT, N, H, 10          1   80.43   56.59   73.84
3NT, N, S, 10          5   80.43   56.59   73.84
3NT, N, S, 11          1   87.68   56.59   81.09
3NT, S, C, 8           2   26.81   41.79   35.02
3NT, S, C, 9           1   71.74   41.79   79.95
3S, E, H, 7            1   55.07   47.87   57.20
3SX, E, D, 4           1    1.45   19.67   31.78
3SX, E, D, 5           1    6.52   19.67   36.85
3SX, E, D, 7           1   42.75   19.67   73.08
3SX, E, H, 4           1    1.45   19.67   31.78
3SX, E, H, 5           1    6.52   19.67   36.85
3SX, E, S, 6           1   36.23   19.67   66.56
3SX, W, S, 6           1   36.23   36.23   50.00
4CX, E, D, 7           4   36.23   36.23   50.00
4CX, E, H, 7           1   36.23   36.23   50.00
4D, N, C, 10           1   47.83   49.11   48.72
4D, N, S, 10           1   47.83   49.11   48.72
4D, N, S, 11           1   52.17   49.11   53.07
4HX, W, C, 5           1    1.45    3.99   47.46
4HX, W, H, 6           1    6.52    3.99   52.54
4NT, N, C, 8           1    4.35   44.24   10.11
5CX, E, D, 7           1    6.52    6.52   50.00
5D, N, C, 10           1   26.81   39.01   37.81
5D, N, H, 11           1   71.74   39.01   82.73
5D, N, S, 10          10   26.81   39.01   37.81
5D, N, S, 11           1   71.74   39.01   82.73
5D, S, S, 10           3   26.81   26.81   50.00
5DX, N, D, 10          1    4.35   27.59   26.75
5DX, N, S, 10          2    4.35   27.59   26.75
5DX, N, S, 11          1   89.86   27.59  112.26
6D, N, C, 10           1    4.35   13.21   41.14
6D, N, S, 10           2    4.35   13.21   41.14

DEFENDER, Board 28|5

Contract           Count Overall     Bid    Lead Restdef
2HX, E, H, 6           1   57.25   57.25   50.00   50.00
3D, N, H, 11           2   47.83   50.89   46.21   50.72
3D, N, H, 12           1   44.93   50.89   46.21   47.83
3D, S, S, 10           1   52.17   52.17   50.00   50.00
3NT, N, C, 10          2   19.57   43.41   67.10    9.06
3NT, N, C, 8           8   73.19   43.41   67.10   62.68
3NT, N, C, 9           1   28.26   43.41   67.10   17.75
3NT, N, D, 11          1   12.32   43.41   18.91   50.00
3NT, N, H, 10          1   19.57   43.41   26.16   50.00
3NT, N, S, 10          5   19.57   43.41   24.95   51.21
3NT, N, S, 11          1   12.32   43.41   24.95   43.96
3NT, S, C, 8           2   73.19   58.21   50.00   64.98
3NT, S, C, 9           1   28.26   58.21   50.00   20.05
3S, E, H, 7            1   44.93   52.13   49.99   42.81
3SX, E, D, 4           1   98.55   80.33   52.76   65.46
3SX, E, D, 5           1   93.48   80.33   52.76   60.39
3SX, E, D, 7           1   57.25   80.33   52.76   24.15
3SX, E, H, 4           1   98.55   80.33   52.76   65.46
3SX, E, H, 5           1   93.48   80.33   52.76   60.39
3SX, E, S, 6           1   63.77   80.33   33.44   50.00
3SX, W, S, 6           1   63.77   63.77   50.00   50.00
4CX, E, D, 7           4   63.77   63.77   50.00   50.00
4CX, E, H, 7           1   63.77   63.77   50.00   50.00
4D, N, C, 10           1   52.17   50.89   51.28   50.00
4D, N, S, 10           1   52.17   50.89   50.56   50.72
4D, N, S, 11           1   47.83   50.89   50.56   46.38
4HX, W, C, 5           1   98.55   96.01   52.54   50.00
4HX, W, H, 6           1   93.48   96.01   47.46   50.00
4NT, N, C, 8           1   95.65   55.76   75.34   64.55
5CX, E, D, 7           1   93.48   93.48   50.00   50.00
5D, N, C, 10           1   73.19   60.99   62.19   50.00
5D, N, H, 11           1   28.26   60.99   16.63   50.64
5D, N, S, 10          10   73.19   60.99   54.71   57.49
5D, N, S, 11           1   28.26   60.99   54.71   12.56
5D, S, S, 10           3   73.19   73.19   50.00   50.00
5DX, N, D, 10          1   95.65   72.41   73.25   50.00
5DX, N, S, 10          2   95.65   72.41   59.00   64.25
5DX, N, S, 11          1   10.14   72.41   59.00  -21.26
6D, N, C, 10           1   95.65   86.79   58.86   50.00
6D, N, S, 10           2   95.65   86.79   55.12   53.74

DECLARER, Board 28|6

Contract           Count Overall     Bid    Play
2H, E, D, 10           1   40.58   34.46   56.12
2H, E, D, 9            2   32.61   34.46   48.15
2H, E, S, 9            2   32.61   34.46   48.15
2H, W, S, 10           3   40.58   37.59   52.99
2H, W, S, 9            2   32.61   37.59   45.02
2S, S, H, 6            1   72.46   78.63   43.83
3NT, E, S, 10          6   73.91   74.95   48.96
3NT, E, S, 11          1   81.16   74.95   56.21
3NT, W, S, 10          1   73.91   73.91   50.00
4D, W, S, 12           1   40.58   40.60   49.98
4H, E, C, 10           1   58.70   25.05   83.64
4H, E, C, 9            1   14.49   25.05   39.44
4H, E, D, 10           2   58.70   25.05   83.64
4H, E, D, 9           12   14.49   25.05   39.44
4H, E, S, 10           2   58.70   25.05   83.64
4H, E, S, 8            1    0.72   25.05   25.67
4H, E, S, 9            3   14.49   25.05   39.44
4H, W, S, 10           1   58.70   42.12   66.58
4H, W, S, 9            1   14.49   42.12   22.37
4HX, W, S, 10          1   82.61   51.90   80.71
4SX, N, C, 6           1   13.77   23.91   39.86
4SX, N, D, 6           1   13.77   23.91   39.86
4SX, N, S, 8           1   54.35   23.91   80.43
4SX, S, H, 6           2   13.77   23.91   39.86
4SX, S, H, 8           1   54.35   23.91   80.43
5D, E, S, 12           2   58.70   58.70   50.00
5D, W, D, 12           1   58.70   59.48   49.22
5D, W, S, 11           1   47.83   59.48   38.35
5D, W, S, 12           5   58.70   59.48   49.22
5D, W, S, 13           1   79.71   59.48   70.23
5HX, E, S, 10          1    0.72    0.18   50.54
6D, E, C, 12           1   94.20   94.20   50.00
6D, E, H, 12           1   94.20   94.20   50.00
6D, E, S, 12           1   94.20   94.20   50.00
6D, W, S, 12           4   94.20   88.41   55.80
6SX, N, D, 6           1    0.00    3.44   46.56

DEFENDER, Board 28|6

Contract           Count Overall     Bid    Lead Restdef
2H, E, D, 10           1   59.42   65.54   50.44   43.44
2H, E, D, 9            2   67.39   65.54   50.44   51.41
2H, E, S, 9            2   67.39   65.54   49.64   52.21
2H, W, S, 10           3   59.42   62.41   50.00   47.01
2H, W, S, 9            2   67.39   62.41   50.00   54.98
2S, S, H, 6            1   27.54   21.37   50.00   56.17
3NT, E, S, 10          6   26.09   25.05   50.00   51.04
3NT, E, S, 11          1   18.84   25.05   50.00   43.79
3NT, W, S, 10          1   26.09   26.09   50.00   50.00
4D, W, S, 12           1   59.42   59.40   50.00   50.02
4H, E, C, 10           1   41.30   74.95   38.46   27.90
4H, E, C, 9            1   85.51   74.95   38.46   72.10
4H, E, D, 10           2   41.30   74.95   52.76   13.60
4H, E, D, 9           12   85.51   74.95   52.76   57.80
4H, E, S, 10           2   41.30   74.95   47.35   19.00
4H, E, S, 8            1   99.28   74.95   47.35   76.97
4H, E, S, 9            3   85.51   74.95   47.35   63.20
4H, W, S, 10           1   41.30   57.88   50.00   33.42
4H, W, S, 9            1   85.51   57.88   50.00   77.63
4HX, W, S, 10          1   17.39   48.10   50.00   19.29
4SX, N, C, 6           1   86.23   76.09   60.14   50.00
4SX, N, D, 6           1   86.23   76.09   60.14   50.00
4SX, N, S, 8           1   45.65   76.09   19.57   50.00
4SX, S, H, 6           2   86.23   76.09   50.00   60.14
4SX, S, H, 8           1   45.65   76.09   50.00   19.57
5D, E, S, 12           2   41.30   41.30   50.00   50.00
5D, W, D, 12           1   41.30   40.52   50.78   50.00
5D, W, S, 11           1   52.17   40.52   49.93   61.71
5D, W, S, 12           5   41.30   40.52   49.93   50.85
5D, W, S, 13           1   20.29   40.52   49.93   29.83
5HX, E, S, 10          1   99.28   99.82   49.94   49.52
6D, E, C, 12           1    5.80    5.80   50.00   50.00
6D, E, H, 12           1    5.80    5.80   50.00   50.00
6D, E, S, 12           1    5.80    5.80   50.00   50.00
6D, W, S, 12           4    5.80   11.59   50.48   43.72
6SX, N, D, 6           1  100.00   96.56   53.44   50.00

DECLARER, Board 29|7

Contract           Count Overall     Bid    Play
3SX, W, S, 2           1    0.00    0.00   50.00
4S, N, C, 11           1   56.34   60.97   45.37
4S, N, D, 11           1   56.34   60.97   45.37
4S, N, D, 12           1   69.72   60.97   58.75
4S, N, H, 11           4   56.34   60.97   45.37
4S, N, H, 12           6   69.72   60.97   58.75
5C, S, H, 9            1    2.82   25.71   27.10
5CXX, S, H, 11         1   88.73   44.37   94.37
5HX, E, C, 10          1   61.27   61.27   50.00
5HX, E, S, 10          7   61.27   61.27   50.00
5S, N, H, 10           1   18.31   59.04    9.27
5S, N, H, 11           5   56.34   59.04   47.30
5S, N, H, 12           1   69.72   59.04   60.68
6C, N, H, 10           1    2.82    2.82   50.00
6HX, E, C, 10          1   53.52   53.52   50.00
6HX, E, H, 10          1   53.52   53.52   50.00
6HX, E, S, 10          1   53.52   53.52   50.00
6S, N, D, 11           1   18.31   46.45   21.86
6S, N, H, 10           1    2.82   46.45    6.37
6S, N, H, 11          13   18.31   46.45   21.86
6S, N, H, 12           7   94.37   46.45   97.92
6S, N, S, 10           1    2.82   46.45    6.37
6S, S, H, 11           1   18.31   18.31   50.00
6SX, N, H, 11          1    2.82   39.32   13.49
7HX, E, C, 10          1   18.31   18.31   50.00
7HX, E, S, 10          7   18.31   18.31   50.00
7HX, W, D, 10          1   18.31   18.31   50.00
7S, N, H, 12           1   18.31    8.57   59.74
pass                   2   31.69   31.69   50.00
